Account No,Organisation,City,Country,Region,Access,C40,Reporting year,Risks to city's water supply,​Adaptation action,Action description,City Location,Country Location
54697,Prefeitura Municipal de Cerquilho,Cerquilho,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,Educação nas escolas e para a população ter responsabilidade no consumo da água (gotas de sabedoria). Aumento da reservação do município. Manutenção do tratamento de esgoto em 100%. Doação de mudas para APPs. Fiscalização.,"(-23.166974, -47.746317)","(-14.235004, -51.92528)"
54697,Prefeitura Municipal de Cerquilho,Cerquilho,Brazil,Latin America,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),Execução de obras de micro e macro drenagem urbana.,"(-23.166974, -47.746317)","(-14.235004, -51.92528)"
54683,Prefeitura Municipal de Franco da Rocha,Franco da Rocha,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,Campanhas para utilização racional da água.,"(-23.30943, -46.732043)","(-14.235004, -51.92528)"
54703,Prefeitura Municipal de Mairiporã,Mairiporã,Brazil,Latin America,Public,,2017,Other:,Conservation awareness and education,Educação ambiental,"(-23.317956, -46.588517)","(-14.235004, -51.92528)"
54692,Prefeitura Municipal de Sertãozinho,Sertãozinho,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,"Para que o Município promova o uso racional da água, foram instalados e substituídos hidrômetros em residências, identificados pontos de vazamentos utilizando aparelho de medição acústica, como geofone mecânico e eletrônico, haste de escuta e perfuração e correlacionador de ruídos. A detecção de vazamentos colabora para redução do desperdício
de água e minimiza os valores das contas de água das famílias de baixa renda. Além deste serviço, também é realizada a instalação e substituição de hidrômetros.
No Dia Mundial da Água, foi realizada uma Campanha de Uso Racional da Água, na qual foram distribuídos folhetos informativos com dicas importantes sobre economia de água e consumo consciente, além de terem sido entregues bicos reguladores de jato d'água que, se utilizados com frequência, podem reduzir consideravelmente o desperdício e,
consequentemente, o consumo mensal.","(-21.145069, -47.994746)","(-14.235004, -51.92528)"
54692,Prefeitura Municipal de Sertãozinho,Sertãozinho,Brazil,Latin America,Public,,2017,Declining water quality,Investment in existing water supply infrastructure,"A fim de atender as ações que demonstrem a proteção de mananciais destinadas ao abastecimento público, os poços municipais recebem muros, alambrados, casa de bombas, casa de cloração e fluoretação, sanitário, e reservatório metálico apoiado de 1000m² de reservação, com intuito de garantir água em quantidade e qualidade à população. Sertãozinho conta com 22 poços, todos são devidamente outorgados pelo DAEE e possuem perímetro de proteção sanitária, delimitados com alambrado e portão para manutenção.","(-21.145069, -47.994746)","(-14.235004, -51.92528)"
60387,Alcaldíade Sincelejo,Sincelejo,Colombia,Latin America,Public,,2017,Increased water stress or scarcity,Diversifying water supply (including new sources),se prevee adelantar un proyecto para abastecernos de otras fuentes,"(9.304577, -75.390557)","(4.570868, -74.297333)"
60387,Alcaldíade Sincelejo,Sincelejo,Colombia,Latin America,Public,,2017,Declining water quality,Municipal water efficiency retrofits,implementacion de tratamientos de potabilidad,"(9.304577, -75.390557)","(4.570868, -74.297333)"
60387,Alcaldíade Sincelejo,Sincelejo,Colombia,Latin America,Public,,2017,Higher water prices,Conservation awareness and education,Implementacion del Programa de Usos y Eficiencia del Agua que presenta y ejcuta el operador especializado,"(9.304577, -75.390557)","(4.570868, -74.297333)"
60394,Gobierno Autónomo Municipal de Tarija,Tarija,Bolivia,Latin America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,"Ley Municipal N 094 ley de uso racional y eficiente del agua
programa ecoescuelas","(-21.266606, -63.488416)","(-16.290154, -63.588653)"
60394,Gobierno Autónomo Municipal de Tarija,Tarija,Bolivia,Latin America,Public,,2017,Declining water quality,Efficiency regulations or standards,norma boliviana  NB 521,"(-21.266606, -63.488416)","(-16.290154, -63.588653)"
60394,Gobierno Autónomo Municipal de Tarija,Tarija,Bolivia,Latin America,Public,,2017,Regulatory,Efficiency regulations or standards,"regulación para el uso  eficitente del agua potable: normativa municipal (LEY y Reglamento)  que tiene como objeto central  el uso eficiente y racional de agua potable, considerando  demanda,  necesidad,  y sancionando el mal uso que se daria al recurso hídrico","(-21.266606, -63.488416)","(-16.290154, -63.588653)"
60407,Municipalidad de Colina,Colina,Chile,Latin America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,Se trabaja en el uso sustentable del recursos agua y concientización a través de la educación (charlas impartidas en seminario a colegios),"(-33.204292, -70.684042)","(-35.675147, -71.542969)"
60410,Municipalidad de Peñalolén,Peñalolén,Chile,Latin America,Public,,2017,Flooding,Conservation awareness and education,,"(-33.454, -70.530212)","(-35.675147, -71.542969)"
60347,Prefeitura da Estância Climática de São Bento do Sapucaí,São Bento do Sapucaí,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,educação ambiental e orientação à população,"(-22.687425, -45.731988)","(-14.235004, -51.92528)"
60347,Prefeitura da Estância Climática de São Bento do Sapucaí,São Bento do Sapucaí,Brazil,Latin America,Public,,2017,Declining water quality,Conservation incentives,"projetos de recuperação e proteção de nascentes e mata ciliar, fiscalização e projetos de instalação de sistemas de tratamento de esgoto doméstico","(-22.687425, -45.731988)","(-14.235004, -51.92528)"
60252,Prefeitura de Birigui,Birigui,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Watershed preservation,A preservação das bacias hidrográficas através do reflorestamento  junto às nascentes e nas margens dos córregos e rios. Também ações de educação ambiental estimulando o consumo consciente e reformulando a estrutura para inibir perdas durante o processo de captação tratamento e distribuição.,"(-21.291505, -50.343631)","(-14.235004, -51.92528)"
60287,Prefeitura de Feira de Santana,Feira de Santana,Brazil,Latin America,Public,,2017,Other:,Efficiency regulations or standards,Em desenvolvimento o Plano de Saneamento Básico Sustentável.,"(-12.259727, -38.964661)","(-14.235004, -51.92528)"
60577,Frederikshavn Kommune,Frederikshavn,Denmark,Europe,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),"Instructions for immediate actions in coordination with the local environmental authority, the water company and the other wide cabinet such as the fire brigade, police etc. Depending on the accident severity, if necessary messages to citizens via media. Relevant media: See Environmental Contingency Plan alarm list 9 - normally Dr North Jutland.
Sensitive users: Kindergartens, nursing homes, schools and the like informed separately.","(57.442711, 10.521006)","(56.26392, 9.501785)"
60577,Frederikshavn Kommune,Frederikshavn,Denmark,Europe,Public,,2017,Other: Contamination,Water metering,"Handling Instructions to the environment guards in Frederikshavn Municipality is prepared to ensure the most appropriate treatment of reported environmental incidents (pollution cases) within the municipality. ""No action or efforts undertaken to limit damage on dissemination may be delayed or omitted because of doubts about who is liable for the resulting associated costs"".","(57.442711, 10.521006)","(56.26392, 9.501785)"
60577,Frederikshavn Kommune,Frederikshavn,Denmark,Europe,Public,,2017,Other: High concentrations of bacteria in tap water,Water metering,"The Chief Medical Officer must always be involved in matters of health matter / matters such issue / cancellation of boiling recommendation.
Risk of health which triggers boiling recommendation :
• Fund of E. Coli,
• Coliform> 20
• Kim-number at 37 ° C: > 50 (discharge pipe from the tap)
> 200 (water supply grid)
• Kim-number at 22 ° C: > 500 (discharge pipe from the tap)
> 2000 (water supply grid)","(57.442711, 10.521006)","(56.26392, 9.501785)"
60602,"Town of Ajax, ON","Ajax, ON",Canada,North America,Public,,2017,Declining water quality,Water use restrictions,"Policy restricting on garden watering during dry season.
Bottled water ban in all municipal facilities
Support in best waste water treatment technology
Invasive species awareness programs","(43.850855, -79.020373)","(56.130366, -106.346771)"
60602,"Town of Ajax, ON","Ajax, ON",Canada,North America,Public,,2017,Inadequate or aging infrastructure,Stormwater management (natural or man-made infrastructure),"By-Law encouraging disconnected downspouts
SWM plan projected in next 1-3 years
Capital project SWM facility assessment and upgrades","(43.850855, -79.020373)","(56.130366, -106.346771)"
60603,"City of Prince George, BC","Prince George, BC",Canada,North America,Public,,2017,Inadequate or aging infrastructure,Conservation awareness and education,Water Conservation Program to encourage reduced water usage.,"(53.917064, -122.749669)","(56.130366, -106.346771)"
60603,"City of Prince George, BC","Prince George, BC",Canada,North America,Public,,2017,Other: Well Contamination,Watershed preservation,"Groundwater protection areas, working relationship with CN to identify risks of location of rail line","(53.917064, -122.749669)","(56.130366, -106.346771)"
59166,Municipalidad de Independencia,Independencia,Chile,Latin America,Public,,2017,Increased water stress or scarcity,Stormwater management (natural or man-made infrastructure),,"(-32.842154, -68.81539)","(-35.675147, -71.542969)"
59167,Municipalidad de Providencia,Providencia,Chile,Latin America,Public,,2017,Increased water stress or scarcity,Investment in existing water supply infrastructure,"First we are working in education of the importance of having a minimum amount of stored water in case supply is interrupted. And secondly, we deliver water to communities in water trucks filling temporary water tanks in the streets of affected communities.","(-33.431297, -70.609189)","(-35.675147, -71.542969)"
45219,Município de Aparecida,Aparecida,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,A secretaria do meio ambiente em conjunto com a secretaria de educação tem elaborado projetos de educação ambiental nas escolas para conscientização do uso racional da água.,"(-20.7, -41.666667)","(-14.235004, -51.92528)"
54253,Wollongong City Council,Wollongong,Australia,South Asia and Oceania,Public,,2017,Flooding,Other,Flood Risk Management Studies and Plans developed and progressively implemented.,"(-34.4278, 150.8931)","(-25.274398, 133.775136)"
54687,Prefeitura Municipal de São José dos Campos,São José dos Campos,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Conservation incentives,Programa de Pagamento por Serviços Ambientais (PSA) Hídrico.,"(-23.184768, -45.878284)","(-14.235004, -51.92528)"
54627,Prefeitura de Joinville,Joinville,Brazil,Latin America,Public,,2017,Water losses,Investment in existing water supply infrastructure,Modernizar a rede de distribuição. Trocar a tubulação antiga,"(-26.300964, -48.840707)","(-14.235004, -51.92528)"
58781,Ringkøbing-Skjern Kommune,Ringkøbing-Skjern,Denmark,Europe,Public,,2017,Flooding,Investment in existing water supply infrastructure,Climate adoption plan 2017-2029,"(56.0447, 8.5059)","(56.26392, 9.501785)"
54066,City of Fort Collins,Fort Collins,USA,North America,Public,,2017,Increased water stress or scarcity,Other,"Fort Collins has numerous formal and regularly-updated Plans in place to ensure strategies and actions are in place to protect and reduce risk to the community’s water supply. These include the Water Supply and Demand Management Plan, Water Efficiency Plan and a Source Watershed Protection Plan. These Plans are created with multiple local and regional stakeholders. Some specific strategies include: ongoing water quality monitoring, pre-sedimentation basin (post fire water quality protection), restoration activities, incentivizing products and providing water efficiency technical support to both residents and businesses. Additionally, the City of Fort Collins is in the NEPA permitting process to expand Halligan Reservoir to add much needed water storage to our system.","(40.5853, 105.0844)","(37.09024, -95.712891)"
50388,Prefeitura de Natal,Natal,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Diversifying water supply (including new sources),Alguns estabelecimentos comerciais utilizam poços.,"(-5.779257, -35.200916)","(-14.235004, -51.92528)"
50388,Prefeitura de Natal,Natal,Brazil,Latin America,Public,,2017,Declining water quality,Investment in existing water supply infrastructure,É realizado o processo de diluição de poços contaminados.,"(-5.779257, -35.200916)","(-14.235004, -51.92528)"
36037,Santiago de Cali,Santiago de Cali,Colombia,Latin America,Public,,2017,Declining water quality,Efficiency regulations or standards,"Law 373 of 1997 establishes the obligation of users of water resources presenting a program of efficient use and saving water-PUES (for its acronym in Spanish), which seeks to get organized and coherent set of actions, which are carried out either by the execution of works of adaptation and/or adoption of technical and administrative measures to help achieve the objective of the program. Thus, it has been socializing and publishing methodological tools to develop these programs in order to standardize and facilitate the submission of the PUE.","(3.451647, -76.531985)","(4.570868, -74.297333)"
36045,Santiago de Guayaquil,Santiago de Guayaquil,Ecuador,Latin America,Public,,2017,Flooding,Watershed preservation,,"(-2.170998, -79.922359)","(-1.831239, -78.183406)"
60373,Alcaldía de Ríohacha,Ríohacha,Colombia,Latin America,Public,,2017,Increased water stress or scarcity,Diversifying water supply (including new sources),en temporadas de sequia se realizan suministros de agua con carrotanques a las zonas mas afectadas por dicho fenomeno,"(11.441777, -72.909865)","(4.5709, -74.2973)"
60373,Alcaldía de Ríohacha,Ríohacha,Colombia,Latin America,Public,,2017,Flooding,Investment in existing water supply infrastructure,"El sistema de respaldo consta de la construcón de cuatro pozos profundos para el suministro de agua potable en Riohacha, como medida cuando se presenten periodos intensos de lluvia y sequía, este sistema esta en la etpa de constucción.","(11.441777, -72.909865)","(4.5709, -74.2973)"
60375,Gobiernación del Archipiélago de San Andrés,Archipiélago de San Andrés,Colombia,Latin America,Public,,2017,Increased water stress or scarcity,Diversifying water supply (including new sources),Se contempla y se gestiona la posibilidad de obtener una planta desalinizadora,"(12.579438, -81.697645)","(4.5709, -74.2973)"
60375,Gobiernación del Archipiélago de San Andrés,Archipiélago de San Andrés,Colombia,Latin America,Public,,2017,Declining water quality,Stormwater management (natural or man-made infrastructure),Se promueve la captación de agua lluvia,"(12.579438, -81.697645)","(4.5709, -74.2973)"
62814,Municipalidad de Pica,Pica,Chile,Latin America,Public,,2017,Increased water stress or scarcity,Water use restrictions,"Esta restringido el consumo de agua por la Direccion General de Aguas, para aprovechamiento de sondajes o pozos para el uso agricola,","(-20.4895, -69.3305)","(-35.675147, -71.542969)"
62814,Municipalidad de Pica,Pica,Chile,Latin America,Public,,2017,Declining water quality,Conservation awareness and education,Se trasmite la informacion a la poblacion de no disponer de pozos negros para el desague y optar mas por reutilizacion de las aguas para la agricultura o regado de arboles.,"(-20.4895, -69.3305)","(-35.675147, -71.542969)"
50380,Municipio de Bucaramanga,Bucaramanga,Colombia,Latin America,Public,,2017,Declining water quality,Efficiency regulations or standards,"It activates the contingency plan that applies from the moment in which chemical or biological contamination is detected in the Frio River, preventing its treatment, until the raw water complies with the standards established in the norm to carry out its treatment .","(7.110349, -73.122742)","(4.5709, -74.2973)"
50380,Municipio de Bucaramanga,Bucaramanga,Colombia,Latin America,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,"The amb has an approved budget for the maintenance of the networks which is executed annually. In addition, the CER policy covers damages to third parties as a result of damage to distribution networks.

To reduce the risks of shortages valued in the RISK MANUAL V2. 2017, the amb has executed and has projected the following actions:
A) Putting into Operation the Bucaramanga Reservoir, which mitigates the risk of shortage by intense summer and the effect of water quality by turbidity or contamination of the Suratá River.
B) Loss reduction program to control demand and reduce drought risk
C) Program of rational use of water to control the demand of water of the city.
D) Projects of works of interconnection of tanks and sources to increase the redundancy in the system of supply.","(7.110349, -73.122742)","(4.5709, -74.2973)"
54687,Prefeitura Municipal de São José dos Campos,São José dos Campos,Brazil,Latin America,Public,,2017,Declining water quality,Investment in existing water supply infrastructure,Investimento no sistema de tratamento de esgotos.,"(-23.184768, -45.878284)","(-14.235004, -51.92528)"
54687,Prefeitura Municipal de São José dos Campos,São José dos Campos,Brazil,Latin America,Public,,2017,Water losses,Water use restrictions,Lei que proíbe lavar o passeio público e automóveis com água corrente.,"(-23.184768, -45.878284)","(-14.235004, -51.92528)"
57509,Prefeitura Niterói,Niterói,Brazil,Latin America,Public,,2017,Inadequate or aging infrastructure,Efficiency regulations or standards,"A Revisão do Plano Diretor, em fase de aprovação, prevê um conjunto de estudos e planos para aprimorar a gestão e manejo das águas urbanas, são eles:
Plano de Resiliência Frente as Mudanças do Clima, Plano Diretor de Drenagem Urbana e Plano de Fundo de Vale","(-22.892857, -43.118381)","(-14.235004, -51.92528)"
50380,Municipio de Bucaramanga,Bucaramanga,Colombia,Latin America,Public,,2017,Increased water stress or scarcity,Diversifying water supply (including new sources),"The contingency plan is activated as soon as a deficit of +/- 200L / s is registered in the supply system, until the equilibrium of the water supply is reached as a result of the demand of the users

The Bucaramanga Reservoir will store 17.3 million cubic meters of water and regulate a flow of 1,000 liters per second in addition to the aqueduct system, equivalent to a water reserve for three months of consumption, it is important that the structure of management strategies Of risk and include financial protection strategies using transfer and retention instruments to ensure the sustainability of the system. It is here that the knowledge of statistical information and possible impacts in financial terms becomes important, enabling the environment to manage economic resources that allow the recovery of infrastructure and service, in the event of an unfavorable event; Thus ensuring the storage of water to mitigate the effects of adverse climatic events, such as the Niño.","(7.110349, -73.122742)","(4.5709, -74.2973)"
60233,Pärnu City Government,Pärnu,Estonia,Europe,Public,,2017,Flooding,Conservation awareness and education,,"(58.3858, 24.4966)","(58.595272, 25.013607)"
60284,Prefeitura de Angra dos Reis,Angra dos Reis,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Water use restrictions,"Realização de manobras de água, com interrupção do abastecimento  diariamente. 
Obrigar a implantação de sistema de coleta de água pluvial para uso secundário, para empreendimentos comerciais com mais de 50 m² de área construída, no âmbito do licenciamento ambiental.","(-22.998285, -44.244207)","(-14.235004, -51.92528)"
60284,Prefeitura de Angra dos Reis,Angra dos Reis,Brazil,Latin America,Public,,2017,Declining water quality,Conservation incentives,"Incentivo a criação de unidades de conservação visando a proteção dos mananciais de abastecimento.
Incentivo a projetos de reflorestamento nas nascentes e nas margens dos rios.","(-22.998285, -44.244207)","(-14.235004, -51.92528)"
60284,Prefeitura de Angra dos Reis,Angra dos Reis,Brazil,Latin America,Public,,2017,Higher water prices,Water metering,Programa de instalação de hidrômetros.,"(-22.998285, -44.244207)","(-14.235004, -51.92528)"
60271,Prefeitura de Bertioga,Bertioga,Brazil,Latin America,Public,,2017,Declining water quality,Watershed preservation,Ampliação da coleta e tratamento de esgoto e construção de mais uma estação de tratamento de esgoto.,"(-23.8081, -46.059941)","(-14.235004, -51.92528)"
60271,Prefeitura de Bertioga,Bertioga,Brazil,Latin America,Public,,2017,Inadequate or aging infrastructure,Stormwater management (natural or man-made infrastructure),Trabalho em parceria com a empresa de saneamento visando acabar com as interferencias na rede de esgoto existente.,"(-23.8081, -46.059941)","(-14.235004, -51.92528)"
60271,Prefeitura de Bertioga,Bertioga,Brazil,Latin America,Public,,2017,Higher water prices,Conservation awareness and education,"Trabalhos de educação ambiental visando a preservação do recurso hidrico, tratamento de esgoto e manejo dos resíduos sólidos.","(-23.8081, -46.059941)","(-14.235004, -51.92528)"
60254,Prefeitura de Bonito,Bonito,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,Campanhas educativas em todas as escolas do município.,"(-21.125448, -56.489385)","(-14.235004, -51.92528)"
60264,Prefeitura de Botucatu,Botucatu,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Watershed preservation,"Atualmente reclassificado o rio municipal Lavapes, na bacia hidrografica do Sorocaba Medio Tiete para utilização de abastecimento publico.","(-22.885184, -48.444139)","(-14.235004, -51.92528)"
54066,City of Fort Collins,Fort Collins,USA,North America,Public,,2017,Declining water quality,Other,"Fort Collins has numerous formal and regularly-updated Plans in place to ensure strategies and actions are in place to protect and reduce risk to the community’s water supply. These include the Water Supply and Demand Management Plan, Water Efficiency Plan and a Source Watershed Protection Plan. These Plans are created with multiple local and regional stakeholders. Some specific strategies include: ongoing water quality monitoring, pre-sedimentation basin (post fire water quality protection), restoration activities, incentivizing products and providing water efficiency technical support to both residents and businesses. Additionally, the City of Fort Collins is in the NEPA permitting process to expand Halligan Reservoir to add much needed water storage to our system.","(40.5853, 105.0844)","(37.09024, -95.712891)"
54345,City Government of Davao,Davao,Philippines,South Asia and Oceania,Public,,2017,Declining water quality,Other,Land use regulation,"(7.074755, 125.624539)","(12.879721, 121.774017)"
54650,Prefeitura de Palmas,Palmas,Brazil,Latin America,Public,,2017,Flooding,Other,"Mapeamento das áreas vulneráveis, identificando a gravidade do risco","(-10.249091, -48.324286)","(-14.235004, -51.92528)"
54627,Prefeitura de Joinville,Joinville,Brazil,Latin America,Public,,2017,Other: Redução do volume dos rios,Other,Monitoramento da vazão. Monitoramento sistemático e mensal do nível do rio.,"(-26.300964, -48.840707)","(-14.235004, -51.92528)"
60274,Prefeitura de Cruzeiro do Sul,Cruzeiro do Sul,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Other,"Não falta água para Creches e Escolas, a prefeitura rapidamente atua para correção do problema, seja levando água em caminhões Pipas (do município) para as escolas e creches ou Consertando os encanamentos, solicitando a imediata correção pelo distribuidor de água no município.","(-7.627998, -72.676149)","(-14.235004, -51.92528)"
57509,Prefeitura Niterói,Niterói,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Watershed preservation,"Reflorestamento no entorno imediato das nascentes e olhos d'água, manutenção da biodiversidade das áreas florestadas e plantio de áreas degradadas","(-22.892857, -43.118381)","(-14.235004, -51.92528)"
57509,Prefeitura Niterói,Niterói,Brazil,Latin America,Public,,2017,Flooding,Stormwater management (natural or man-made infrastructure),Obras estruturais e monofuncionais de drenagem urbana  e desassoreamento dos canais e galerias de drenagem.,"(-22.892857, -43.118381)","(-14.235004, -51.92528)"
54405,Vejle Kommune,Vejle,Denmark,Europe,Public,,2017,Declining water quality,Diversifying water supply (including new sources),The water supply to Vejle is physically redundant so the city can be supplied from several water treatment plants meaning that there will be sufficient time to establish new well fields to replace eventually contaminated well fields.,"(55.7113, 9.5364)","(56.26392, 9.501785)"
54405,Vejle Kommune,Vejle,Denmark,Europe,Public,,2017,Flooding,Diversifying water supply (including new sources),The water supply to Vejle is physically redundant so the city can be supplied from several water treatment plants meaning that there will be sufficient time to establish new well fields to replace eventually contaminated well fields.,"(55.7113, 9.5364)","(56.26392, 9.501785)"
69973,Alcaldia de Barrancabermeja,Barrancabermeja,Colombia,Latin America,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,"Desarrollo de campañas de capacitación para reducir los consumos , aumentando el valor del servicio publico a quienes sobrepasaran sus valores promedio de consumo.
Campañas de Control de lavaderos de autos  clandestinos, que tenían como insumo el uso desmedido de agua potable,","(7.060668, -73.872399)","(4.5709, -74.2973)"
69973,Alcaldia de Barrancabermeja,Barrancabermeja,Colombia,Latin America,Public,,2017,Declining water quality,Diversifying water supply (including new sources),Ejecución de Consultoría para la identificación de fuentes alternativas de suministro de agua que cumpla con los parámetros para consumo humano.,"(7.060668, -73.872399)","(4.5709, -74.2973)"
69973,Alcaldia de Barrancabermeja,Barrancabermeja,Colombia,Latin America,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,Desarrollo de Actividades de Mantenimiento por parte de la Empresa de Acueducto del Municipio.,"(7.060668, -73.872399)","(4.5709, -74.2973)"
73247,Prefeitura de Bayeux,Bayeux,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Conservation incentives,,"(-7.125052, -34.926819)","(-14.235004, -51.92528)"
68385,Municipio de Chorrera,Chorrera,Panama,Latin America,Public,,2017,Increased water stress or scarcity,Conservation incentives,"COORDINACIÓN CON EL ENTE ENCARGADO DE LA DISTRIBUCIÓN DEL AGUA, PARA QUE EL SERVICIO SEA EFICIENTE Y LLEGUE A LA MAYOR CANTIDAD DE LA POBLACIÓN.","(8.882894, -79.773631)","(8.538, -80.7821)"
68385,Municipio de Chorrera,Chorrera,Panama,Latin America,Public,,2017,Inadequate or aging infrastructure,Efficiency regulations or standards,DAR EL APOYO AL ENTE ENCARGADO DE LA DISTRIBUCIÓN DEL AGUA PARA QUE SEA EFICIENTE EL SERVICIO.,"(8.882894, -79.773631)","(8.538, -80.7821)"
68385,Municipio de Chorrera,Chorrera,Panama,Latin America,Public,,2017,Water losses,Water metering,VIGILANCIA PERMANENTE AL USO DE LA INFRAESTRUCTURA,"(8.882894, -79.773631)","(8.538, -80.7821)"
31174,Moscow Government,Moscow ,Russia,Europe,Public,C40,2017,Inadequate or aging infrastructure,Other,"Optimization of the operation of the pumping stations of the second and third upgrades, replacement of existing pumping units at low-pressure and less productive, and decommissioning (conservation) redundant structures.","(55.755826, 37.6173)","(61.52401, 105.318756)"
36043,Abuja Federal Capital Territory,Abuja,Nigeria,Africa,Public,,2017,Increased water stress or scarcity,Efficiency regulations or standards,,"(9.076479, 7.398574)","(9.081999, 8.675277)"
36043,Abuja Federal Capital Territory,Abuja,Nigeria,Africa,Public,,2017,Inadequate or aging infrastructure,Investment in existing water supply infrastructure,,"(9.076479, 7.398574)","(9.081999, 8.675277)"
36043,Abuja Federal Capital Territory,Abuja,Nigeria,Africa,Public,,2017,Higher water prices,Water metering,,"(9.076479, 7.398574)","(9.081999, 8.675277)"
36223,Antananarivo,Antananarivo,Madagascar,Africa,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,"Sensibilisation sur la gestion des déchets pour un maintien de la qualité de l'eau
Sensibilisation pour une utilisation économes des ressources en eau","(-18.87919, 47.507905)","(-18.766947, 46.869107)"
54498,Ayuntamiento de Murcia,Murcia,Spain,Europe,Public,,2017,Increased water stress or scarcity,Investment in existing water supply infrastructure,"SMART METERING, TELE MANAGEMENT SYSTEM, RAISING AWARENES CAMPAIGNS","(37.799013, -1.00495)","(40.463667, -3.74922)"
54402,City of Lahti,Lahti,Finland,Europe,Public,,2017,Declining water quality,Water metering,Continous monitoring of water at water stations and bi-annual monitoring of ground water through ground water aquifer,"(60.9833, 25.65)","(61.92411, 25.748151)"
54402,City of Lahti,Lahti,Finland,Europe,Public,,2017,Inadequate or aging infrastructure,Stormwater management (natural or man-made infrastructure),Being prepared for future climatic conditions. Investing more to the operational security of the sewage system.,"(60.9833, 25.65)","(61.92411, 25.748151)"
54402,City of Lahti,Lahti,Finland,Europe,Public,,2017,Increased water stress or scarcity,Watershed preservation,Natural environment preserving in urban areas. Demonstrating leadership.,"(60.9833, 25.65)","(61.92411, 25.748151)"
43926,City of Mannheim,Mannheim,Germany,Europe,Public,,2017,Higher water prices,Conservation awareness and education,,"(49.487459, 8.466039)","(51.165691, 10.451526)"
37261,City of Pietermaritzburg,Pietermaritzburg,South Africa,Africa,Public,,2017,Inadequate or aging infrastructure,Municipal water efficiency retrofits,Msunduzi Municipalities water and sanitation business unit are undertaking plans to evaluate sections of infrastructure which required to be repaired and/or upgraded / refurbished. This is an ongoing project and is currently in the process of being implemented,"(-29.600607, 30.379412)","(-30.559482, 22.937506)"
37261,City of Pietermaritzburg,Pietermaritzburg,South Africa,Africa,Public,,2017,Declining water quality,Conservation awareness and education,"huge amounts of illegal dumping are seen in rural areas, majority of these areas are along stream/river banks where communities just dispose of their rubbish into the stream. Various attempts have been made (by government and NGO based organisations) to educate communities regarding appropriate management and disposal methods of waste / litter. In some areas this has proven to be successful, with community members becoming involved in recycling projects run by other organisations. But there is stillhuge amounts of waste which is being disposed of in rivers / streams","(-29.600607, 30.379412)","(-30.559482, 22.937506)"
37261,City of Pietermaritzburg,Pietermaritzburg,South Africa,Africa,Public,,2017,Increased water stress or scarcity,Water use restrictions,this is currently being implemented i.e. water pressure reduction and there are plans for water shedding to be implemented,"(-29.600607, 30.379412)","(-30.559482, 22.937506)"
37261,City of Pietermaritzburg,Pietermaritzburg,South Africa,Africa,Public,,2017,Higher water prices,Conservation awareness and education,"due to the drought, this is an imminent threat","(-29.600607, 30.379412)","(-30.559482, 22.937506)"
36492,Comune di Parma,Parma,Italy,Europe,Public,,2017,Inadequate or aging infrastructure,Municipal water efficiency retrofits,Awareness of the entire water supply chain,"(44.8015, 10.3279)","(41.87194, 12.56738)"
58569,City of Podgorica,Podgorica,Montenegro,Europe,Public,,2017,Increased water stress or scarcity,Conservation awareness and education,Carrying out of the Media Campaign for rational use of water. Rational usage of natural resources and stimulation of citizens to save energy sources has multiple benefits for preservation of environment and contributes to overall sustainable development goals. The experience has demonstrated that organizing of such campaigns (media) has exceptional effects and enables citizens to give their contribution in preservation and protection of environment.,"(42.43042, 19.259364)","(42.708678, 19.37439)"
54478,Gemeente Nijmegen,Nijmegen,Netherlands,Europe,Public,,2017,Declining water quality,Efficiency regulations or standards,Together with the water company and the Province of Gelderland (authority for safeguarding the ground water quality) we discuss the risks and take actions when needed.,"(51.844884, 5.842828)","(52.132633, 5.291266)"
